C:\Users\ZhouXunZhe\PycharmProjects\K-nn\venv\Scripts\python.exe C:/Users/ZhouXunZhe/PycharmProjects/K-nn/test.py
0 numbers imported
2000 numbers imported
4000 numbers imported
6000 numbers imported
8000 numbers imported
10000 numbers imported
12000 numbers imported
14000 numbers imported
16000 numbers imported
18000 numbers imported
20000 numbers imported
22000 numbers imported
24000 numbers imported
26000 numbers imported
28000 numbers imported
30000 numbers imported
32000 numbers imported
34000 numbers imported
36000 numbers imported
38000 numbers imported
40000 numbers imported
42000 numbers imported
44000 numbers imported
46000 numbers imported
48000 numbers imported
50000 numbers imported
52000 numbers imported
54000 numbers imported
56000 numbers imported
58000 numbers imported
59999 numbers imported
0 numbers imported
2000 numbers imported
4000 numbers imported
6000 numbers imported
8000 numbers imported
9999 numbers imported
the NO.0 classifier came back with: 7, the real answer is: 7, error count is: 0
the NO.1599 classifier came back with: 4, the real answer is: 4, error count is: 65
the NO.1600 classifier came back with: 3, the real answer is: 3, error count is: 65
the NO.1601 classifier came back with: 3, the real answer is: 3, error count is: 65
the NO.1602 classifier came back with: 6, the real answer is: 6, error count is: 65
the NO.1603 classifier came back with: 1, the real answer is: 1, error count is: 65
the NO.1604 classifier came back with: 2, the real answer is: 2, error count is: 65
the NO.1605 classifier came back with: 3, the real answer is: 3, error count is: 65
the NO.1606 classifier came back with: 7, the real answer is: 7, error count is: 65
the NO.1607 classifier came back with: 3, the real answer is: 3, error count is: 65
the NO.1608 classifier came back with: 3, the real answer is: 3, error count is: 65
the NO.1609 classifier came back with: 2, the real answer is: 2, error count is: 65
the NO.1610 classifier came back with: 0, the real answer is: 0, error count is: 65
the NO.1611 classifier came back with: 3, the real answer is: 3, error count is: 65
the NO.1612 classifier came back with: 3, the real answer is: 3, error count is: 65
the NO.1613 classifier came back with: 8, the real answer is: 8, error count is: 65
the NO.1614 classifier came back with: 4, the real answer is: 4, error count is: 65
the NO.1615 classifier came back with: 3, the real answer is: 3, error count is: 65
the NO.1616 classifier came back with: 6, the real answer is: 6, error count is: 65
the NO.1617 classifier came back with: 3, the real answer is: 3, error count is: 65
the NO.1618 classifier came back with: 5, the real answer is: 5, error count is: 65
the NO.1619 classifier came back with: 0, the real answer is: 0, error count is: 65
the NO.1620 classifier came back with: 2, the real answer is: 2, error count is: 65
the NO.1621 classifier came back with: 0, the real answer is: 0, error count is: 65
the NO.1622 classifier came back with: 9, the real answer is: 9, error count is: 65
the NO.1623 classifier came back with: 0, the real answer is: 0, error count is: 65
the NO.1624 classifier came back with: 7, the real answer is: 7, error count is: 65
the NO.1625 classifier came back with: 4, the real answer is: 4, error count is: 65
the NO.1626 classifier came back with: 6, the real answer is: 6, error count is: 65
the NO.1627 classifier came back with: 9, the real answer is: 9, error count is: 65
the NO.1628 classifier came back with: 3, the real answer is: 3, error count is: 65
the NO.1629 classifier came back with: 5, the real answer is: 5, error count is: 65
the NO.1630 classifier came back with: 1, the real answer is: 1, error count is: 65
the NO.1631 classifier came back with: 9, the real answer is: 9, error count is: 65
the NO.1632 classifier came back with: 6, the real answer is: 6, error count is: 65
the NO.1633 classifier came back with: 1, the real answer is: 1, error count is: 65
the NO.1634 classifier came back with: 4, the real answer is: 4, error count is: 65
the NO.1635 classifier came back with: 5, the real answer is: 5, error count is: 65
the NO.1636 classifier came back with: 4, the real answer is: 4, error count is: 65
the NO.1637 classifier came back with: 5, the real answer is: 5, error count is: 65
the NO.1638 classifier came back with: 0, the real answer is: 0, error count is: 65
the NO.1639 classifier came back with: 5, the real answer is: 5, error count is: 65
the NO.1640 classifier came back with: 9, the real answer is: 9, error count is: 65
the NO.1641 classifier came back with: 5, the real answer is: 5, error count is: 65
the NO.1642 classifier came back with: 2, the real answer is: 2, error count is: 65
the NO.1643 classifier came back with: 1, the real answer is: 1, error count is: 65
the NO.1644 classifier came back with: 2, the real answer is: 2, error count is: 65
the NO.1645 classifier came back with: 9, the real answer is: 9, error count is: 65
the NO.1646 classifier came back with: 1, the real answer is: 1, error count is: 65
the NO.1647 classifier came back with: 9, the real answer is: 9, error count is: 65
the NO.1648 classifier came back with: 9, the real answer is: 9, error count is: 65
the NO.1649 classifier came back with: 4, the real answer is: 4, error count is: 65
the NO.1650 classifier came back with: 0, the real answer is: 0, error count is: 65
the NO.1651 classifier came back with: 8, the real answer is: 8, error count is: 65
the NO.1652 classifier came back with: 4, the real answer is: 4, error count is: 65
the NO.1653 classifier came back with: 5, the real answer is: 5, error count is: 65
the NO.1654 classifier came back with: 2, the real answer is: 2, error count is: 65
the NO.1655 classifier came back with: 9, the real answer is: 9, error count is: 65
the NO.1656 classifier came back with: 2, the real answer is: 2, error count is: 65
the NO.1657 classifier came back with: 1, the real answer is: 1, error count is: 65
the NO.1658 classifier came back with: 2, the real answer is: 2, error count is: 65
the NO.1659 classifier came back with: 1, the real answer is: 1, error count is: 65
the NO.1660 classifier came back with: 7, the real answer is: 7, error count is: 65
the NO.1661 classifier came back with: 3, the real answer is: 3, error count is: 65
the NO.1662 classifier came back with: 6, the real answer is: 6, error count is: 65
the NO.1663 classifier came back with: 8, the real answer is: 8, error count is: 65
the NO.1664 classifier came back with: 8, the real answer is: 8, error count is: 65
the NO.1665 classifier came back with: 4, the real answer is: 4, error count is: 65
the NO.1666 classifier came back with: 9, the real answer is: 9, error count is: 65
the NO.1667 classifier came back with: 1, the real answer is: 1, error count is: 65
the NO.1668 classifier came back with: 9, the real answer is: 9, error count is: 65
the NO.1669 classifier came back with: 8, the real answer is: 8, error count is: 65
the NO.1670 classifier came back with: 5, the real answer is: 5, error count is: 65
the NO.1671 classifier came back with: 7, the real answer is: 7, error count is: 65
the NO.1672 classifier came back with: 5, the real answer is: 5, error count is: 65
the NO.1673 classifier came back with: 1, the real answer is: 1, error count is: 65
the NO.1674 classifier came back with: 1, the real answer is: 1, error count is: 65
the NO.1675 classifier came back with: 8, the real answer is: 8, error count is: 65
the NO.1676 classifier came back with: 6, the real answer is: 6, error count is: 65
the NO.1677 classifier came back with: 5, the real answer is: 5, error count is: 65
the NO.1678 classifier came back with: 2, the real answer is: 2, error count is: 65
the NO.1679 classifier came back with: 4, the real answer is: 4, error count is: 65
the NO.1680 classifier came back with: 4, the real answer is: 4, error count is: 65
the NO.1681 classifier came back with: 7, the real answer is: 3, error count is: 65
the NO.1682 classifier came back with: 2, the real answer is: 2, error count is: 66
the NO.1683 classifier came back with: 3, the real answer is: 3, error count is: 66
the NO.1684 classifier came back with: 5, the real answer is: 5, error count is: 66
the NO.1685 classifier came back with: 6, the real answer is: 6, error count is: 66
the NO.1686 classifier came back with: 8, the real answer is: 8, error count is: 66
the NO.1687 classifier came back with: 8, the real answer is: 8, error count is: 66
the NO.1688 classifier came back with: 6, the real answer is: 6, error count is: 66
the NO.1689 classifier came back with: 2, the real answer is: 2, error count is: 66
the NO.1690 classifier came back with: 3, the real answer is: 3, error count is: 66
the NO.1691 classifier came back with: 1, the real answer is: 1, error count is: 66
the NO.1692 classifier came back with: 0, the real answer is: 0, error count is: 66
the NO.1693 classifier came back with: 5, the real answer is: 5, error count is: 66
the NO.1694 classifier came back with: 8, the real answer is: 8, error count is: 66
the NO.1695 classifier came back with: 9, the real answer is: 9, error count is: 66
the NO.1696 classifier came back with: 2, the real answer is: 2, error count is: 66
the NO.1697 classifier came back with: 9, the real answer is: 9, error count is: 66
the NO.1698 classifier came back with: 6, the real answer is: 6, error count is: 66
the NO.1699 classifier came back with: 7, the real answer is: 7, error count is: 66
the NO.1700 classifier came back with: 0, the real answer is: 0, error count is: 66
the NO.1701 classifier came back with: 4, the real answer is: 4, error count is: 66
the NO.1702 classifier came back with: 8, the real answer is: 8, error count is: 66
the NO.1703 classifier came back with: 7, the real answer is: 7, error count is: 66
the NO.1704 classifier came back with: 1, the real answer is: 1, error count is: 66
the NO.1705 classifier came back with: 7, the real answer is: 7, error count is: 66
the NO.1706 classifier came back with: 4, the real answer is: 4, error count is: 66
the NO.1707 classifier came back with: 1, the real answer is: 1, error count is: 66
the NO.1708 classifier came back with: 0, the real answer is: 0, error count is: 66
the NO.1709 classifier came back with: 3, the real answer is: 9, error count is: 66
the NO.1710 classifier came back with: 7, the real answer is: 7, error count is: 67
the NO.1711 classifier came back with: 2, the real answer is: 2, error count is: 67
the NO.1712 classifier came back with: 0, the real answer is: 0, error count is: 67
the NO.1713 classifier came back with: 0, the real answer is: 0, error count is: 67
the NO.1714 classifier came back with: 9, the real answer is: 9, error count is: 67
the NO.1715 classifier came back with: 1, the real answer is: 1, error count is: 67
the NO.1716 classifier came back with: 7, the real answer is: 7, error count is: 67
the NO.1717 classifier came back with: 0, the real answer is: 8, error count is: 67
the NO.1718 classifier came back with: 7, the real answer is: 7, error count is: 68
the NO.1719 classifier came back with: 8, the real answer is: 8, error count is: 68
the NO.1720 classifier came back with: 4, the real answer is: 4, error count is: 68
the NO.1721 classifier came back with: 9, the real answer is: 7, error count is: 68
the NO.1722 classifier came back with: 2, the real answer is: 2, error count is: 69
the NO.1723 classifier came back with: 0, the real answer is: 0, error count is: 69
the NO.1724 classifier came back with: 4, the real answer is: 4, error count is: 69
the NO.1725 classifier came back with: 6, the real answer is: 6, error count is: 69
the NO.1726 classifier came back with: 0, the real answer is: 0, error count is: 69
the NO.1727 classifier came back with: 3, the real answer is: 3, error count is: 69
the NO.1728 classifier came back with: 1, the real answer is: 1, error count is: 69
the NO.1729 classifier came back with: 1, the real answer is: 1, error count is: 69
the NO.1730 classifier came back with: 3, the real answer is: 3, error count is: 69
the NO.1731 classifier came back with: 3, the real answer is: 3, error count is: 69
the NO.1732 classifier came back with: 9, the real answer is: 9, error count is: 69
the NO.1733 classifier came back with: 6, the real answer is: 6, error count is: 69
the NO.1734 classifier came back with: 7, the real answer is: 7, error count is: 69
the NO.1735 classifier came back with: 4, the real answer is: 4, error count is: 69
the NO.1736 classifier came back with: 1, the real answer is: 1, error count is: 69
the NO.1737 classifier came back with: 3, the real answer is: 5, error count is: 69
the NO.1738 classifier came back with: 3, the real answer is: 3, error count is: 70
the NO.1739 classifier came back with: 0, the real answer is: 0, error count is: 70
the NO.1740 classifier came back with: 8, the real answer is: 8, error count is: 70
the NO.1741 classifier came back with: 7, the real answer is: 7, error count is: 70
the NO.1742 classifier came back with: 3, the real answer is: 3, error count is: 70
the NO.1743 classifier came back with: 9, the real answer is: 9, error count is: 70
the NO.1744 classifier came back with: 6, the real answer is: 6, error count is: 70
the NO.1745 classifier came back with: 9, the real answer is: 9, error count is: 70
the NO.1746 classifier came back with: 3, the real answer is: 3, error count is: 70
the NO.1747 classifier came back with: 5, the real answer is: 5, error count is: 70
the NO.1748 classifier came back with: 0, the real answer is: 0, error count is: 70
the NO.1749 classifier came back with: 2, the real answer is: 2, error count is: 70
the NO.1750 classifier came back with: 7, the real answer is: 7, error count is: 70
the NO.1751 classifier came back with: 4, the real answer is: 4, error count is: 70
the NO.1752 classifier came back with: 5, the real answer is: 5, error count is: 70
the NO.1753 classifier came back with: 1, the real answer is: 1, error count is: 70
the NO.1754 classifier came back with: 1, the real answer is: 7, error count is: 70
the NO.1755 classifier came back with: 5, the real answer is: 5, error count is: 71
the NO.1756 classifier came back with: 8, the real answer is: 8, error count is: 71
the NO.1757 classifier came back with: 0, the real answer is: 0, error count is: 71
the NO.1758 classifier came back with: 8, the real answer is: 8, error count is: 71
the NO.1759 classifier came back with: 8, the real answer is: 8, error count is: 71
the NO.1760 classifier came back with: 1, the real answer is: 1, error count is: 71
the NO.1761 classifier came back with: 5, the real answer is: 5, error count is: 71
the NO.1762 classifier came back with: 0, the real answer is: 0, error count is: 71
the NO.1763 classifier came back with: 3, the real answer is: 3, error count is: 71
the NO.1764 classifier came back with: 0, the real answer is: 0, error count is: 71
the NO.1765 classifier came back with: 3, the real answer is: 3, error count is: 71
the NO.1766 classifier came back with: 1, the real answer is: 1, error count is: 71
the NO.1767 classifier came back with: 4, the real answer is: 4, error count is: 71
the NO.1768 classifier came back with: 0, the real answer is: 0, error count is: 71
the NO.1769 classifier came back with: 3, the real answer is: 3, error count is: 71
the NO.1770 classifier came back with: 7, the real answer is: 7, error count is: 71
the NO.1771 classifier came back with: 2, the real answer is: 2, error count is: 71
the NO.1772 classifier came back with: 7, the real answer is: 7, error count is: 71
the NO.1773 classifier came back with: 1, the real answer is: 1, error count is: 71
the NO.1774 classifier came back with: 8, the real answer is: 8, error count is: 71
the NO.1775 classifier came back with: 0, the real answer is: 0, error count is: 71
the NO.1776 classifier came back with: 7, the real answer is: 7, error count is: 71
the NO.1777 classifier came back with: 0, the real answer is: 0, error count is: 71
the NO.1778 classifier came back with: 4, the real answer is: 4, error count is: 71
the NO.1779 classifier came back with: 3, the real answer is: 3, error count is: 71
the NO.1780 classifier came back with: 1, the real answer is: 1, error count is: 71
the NO.1781 classifier came back with: 9, the real answer is: 9, error count is: 71
the NO.1782 classifier came back with: 9, the real answer is: 8, error count is: 71
the NO.1783 classifier came back with: 7, the real answer is: 7, error count is: 72
the NO.1784 classifier came back with: 7, the real answer is: 7, error count is: 72
the NO.1785 classifier came back with: 1, the real answer is: 1, error count is: 72
the NO.1786 classifier came back with: 4, the real answer is: 4, error count is: 72
the NO.1787 classifier came back with: 9, the real answer is: 9, error count is: 72
the NO.1788 classifier came back with: 9, the real answer is: 9, error count is: 72
the NO.1789 classifier came back with: 3, the real answer is: 3, error count is: 72
the NO.1790 classifier came back with: 7, the real answer is: 2, error count is: 72
the NO.1791 classifier came back with: 1, the real answer is: 1, error count is: 73
the NO.1792 classifier came back with: 7, the real answer is: 7, error count is: 73
the NO.1793 classifier came back with: 9, the real answer is: 9, error count is: 73
the NO.1794 classifier came back with: 0, the real answer is: 0, error count is: 73
the NO.1795 classifier came back with: 2, the real answer is: 2, error count is: 73
the NO.1796 classifier came back with: 0, the real answer is: 0, error count is: 73
the NO.1797 classifier came back with: 3, the real answer is: 3, error count is: 73
the NO.1798 classifier came back with: 3, the real answer is: 3, error count is: 73
the NO.1799 classifier came back with: 7, the real answer is: 7, error count is: 73
the NO.1800 classifier came back with: 6, the real answer is: 6, error count is: 73
the NO.1801 classifier came back with: 9, the real answer is: 9, error count is: 73
the NO.1802 classifier came back with: 2, the real answer is: 2, error count is: 73
the NO.1803 classifier came back with: 3, the real answer is: 3, error count is: 73
the NO.1804 classifier came back with: 3, the real answer is: 3, error count is: 73
the NO.1805 classifier came back with: 7, the real answer is: 7, error count is: 73
the NO.1806 classifier came back with: 7, the real answer is: 7, error count is: 73
the NO.1807 classifier came back with: 0, the real answer is: 0, error count is: 73
the NO.1808 classifier came back with: 0, the real answer is: 0, error count is: 73
the NO.1809 classifier came back with: 7, the real answer is: 7, error count is: 73
the NO.1810 classifier came back with: 5, the real answer is: 5, error count is: 73
the NO.1811 classifier came back with: 2, the real answer is: 2, error count is: 73
the NO.1812 classifier came back with: 9, the real answer is: 9, error count is: 73
the NO.1813 classifier came back with: 8, the real answer is: 8, error count is: 73
the NO.1814 classifier came back with: 7, the real answer is: 7, error count is: 73
the NO.1815 classifier came back with: 4, the real answer is: 4, error count is: 73
the NO.1816 classifier came back with: 4, the real answer is: 4, error count is: 73
the NO.1817 classifier came back with: 2, the real answer is: 2, error count is: 73
the NO.1818 classifier came back with: 6, the real answer is: 6, error count is: 73
the NO.1819 classifier came back with: 6, the real answer is: 6, error count is: 73
the NO.1820 classifier came back with: 1, the real answer is: 1, error count is: 73
the NO.1821 classifier came back with: 9, the real answer is: 9, error count is: 73
the NO.1822 classifier came back with: 6, the real answer is: 6, error count is: 73
the NO.1823 classifier came back with: 8, the real answer is: 8, error count is: 73
the NO.1824 classifier came back with: 2, the real answer is: 2, error count is: 73
the NO.1825 classifier came back with: 9, the real answer is: 9, error count is: 73
the NO.1826 classifier came back with: 0, the real answer is: 0, error count is: 73
the NO.1827 classifier came back with: 8, the real answer is: 8, error count is: 73
the NO.1828 classifier came back with: 3, the real answer is: 3, error count is: 73
the NO.1829 classifier came back with: 1, the real answer is: 1, error count is: 73
the NO.1830 classifier came back with: 1, the real answer is: 1, error count is: 73
the NO.1831 classifier came back with: 6, the real answer is: 6, error count is: 73
the NO.1832 classifier came back with: 3, the real answer is: 3, error count is: 73
the NO.1833 classifier came back with: 5, the real answer is: 5, error count is: 73
the NO.1834 classifier came back with: 1, the real answer is: 1, error count is: 73
the NO.1835 classifier came back with: 1, the real answer is: 1, error count is: 73
the NO.1836 classifier came back with: 1, the real answer is: 1, error count is: 73
the NO.1837 classifier came back with: 3, the real answer is: 3, error count is: 73
the NO.1838 classifier came back with: 1, the real answer is: 1, error count is: 73
the NO.1839 classifier came back with: 2, the real answer is: 2, error count is: 73
the NO.1840 classifier came back with: 3, the real answer is: 3, error count is: 73
the NO.1841 classifier came back with: 0, the real answer is: 0, error count is: 73
the NO.1842 classifier came back with: 2, the real answer is: 2, error count is: 73
the NO.1843 classifier came back with: 0, the real answer is: 0, error count is: 73
the NO.1844 classifier came back with: 1, the real answer is: 1, error count is: 73
the NO.1845 classifier came back with: 3, the real answer is: 3, error count is: 73
the NO.1846 classifier came back with: 5, the real answer is: 5, error count is: 73
the NO.1847 classifier came back with: 5, the real answer is: 5, error count is: 73
the NO.1848 classifier came back with: 7, the real answer is: 7, error count is: 73
the NO.1849 classifier came back with: 4, the real answer is: 4, error count is: 73
the NO.1850 classifier came back with: 8, the real answer is: 8, error count is: 73
the NO.1851 classifier came back with: 9, the real answer is: 9, error count is: 73
the NO.1852 classifier came back with: 6, the real answer is: 6, error count is: 73
the NO.1853 classifier came back with: 9, the real answer is: 9, error count is: 73
the NO.1854 classifier came back with: 6, the real answer is: 6, error count is: 73
the NO.1855 classifier came back with: 8, the real answer is: 8, error count is: 73
the NO.1856 classifier came back with: 3, the real answer is: 3, error count is: 73
the NO.1857 classifier came back with: 6, the real answer is: 6, error count is: 73
the NO.1858 classifier came back with: 6, the real answer is: 6, error count is: 73
the NO.1859 classifier came back with: 8, the real answer is: 8, error count is: 73
the NO.1860 classifier came back with: 5, the real answer is: 5, error count is: 73
the NO.1861 classifier came back with: 1, the real answer is: 1, error count is: 73
the NO.1862 classifier came back with: 4, the real answer is: 4, error count is: 73
the NO.1863 classifier came back with: 2, the real answer is: 2, error count is: 73
the NO.1864 classifier came back with: 4, the real answer is: 4, error count is: 73
the NO.1865 classifier came back with: 1, the real answer is: 4, error count is: 73
the NO.1866 classifier came back with: 5, the real answer is: 5, error count is: 74
the NO.1867 classifier came back with: 1, the real answer is: 1, error count is: 74
the NO.1868 classifier came back with: 1, the real answer is: 1, error count is: 74
the NO.1869 classifier came back with: 9, the real answer is: 9, error count is: 74
the NO.1870 classifier came back with: 0, the real answer is: 0, error count is: 74
the NO.1871 classifier came back with: 2, the real answer is: 2, error count is: 74
the NO.1872 classifier came back with: 4, the real answer is: 4, error count is: 74
the NO.1873 classifier came back with: 9, the real answer is: 9, error count is: 74
the NO.1874 classifier came back with: 5, the real answer is: 5, error count is: 74
the NO.1875 classifier came back with: 7, the real answer is: 7, error count is: 74
the NO.1876 classifier came back with: 1, the real answer is: 1, error count is: 74
the NO.1877 classifier came back with: 8, the real answer is: 8, error count is: 74
the NO.1878 classifier came back with: 3, the real answer is: 8, error count is: 74
the NO.1879 classifier came back with: 5, the real answer is: 5, error count is: 75
the NO.1880 classifier came back with: 6, the real answer is: 6, error count is: 75
the NO.1881 classifier came back with: 9, the real answer is: 9, error count is: 75
the NO.1882 classifier came back with: 8, the real answer is: 8, error count is: 75
the NO.1883 classifier came back with: 7, the real answer is: 7, error count is: 75
the NO.1884 classifier came back with: 1, the real answer is: 1, error count is: 75
the NO.1885 classifier came back with: 1, the real answer is: 1, error count is: 75
the NO.1886 classifier came back with: 6, the real answer is: 6, error count is: 75
the NO.1887 classifier came back with: 7, the real answer is: 7, error count is: 75
the NO.1888 classifier came back with: 6, the real answer is: 6, error count is: 75
the NO.1889 classifier came back with: 3, the real answer is: 3, error count is: 75
the NO.1890 classifier came back with: 2, the real answer is: 2, error count is: 75
the NO.1891 classifier came back with: 2, the real answer is: 2, error count is: 75
the NO.1892 classifier came back with: 0, the real answer is: 0, error count is: 75
the NO.1893 classifier came back with: 8, the real answer is: 8, error count is: 75
the NO.1894 classifier came back with: 9, the real answer is: 9, error count is: 75
the NO.1895 classifier came back with: 2, the real answer is: 2, error count is: 75
the NO.1896 classifier came back with: 5, the real answer is: 5, error count is: 75
the NO.1897 classifier came back with: 1, the real answer is: 1, error count is: 75
the NO.1898 classifier came back with: 0, the real answer is: 0, error count is: 75
the NO.1899 classifier came back with: 8, the real answer is: 8, error count is: 75
the NO.1900 classifier came back with: 1, the real answer is: 1, error count is: 75
the NO.1901 classifier came back with: 4, the real answer is: 9, error count is: 75
the NO.1902 classifier came back with: 5, the real answer is: 5, error count is: 76
the NO.1903 classifier came back with: 7, the real answer is: 7, error count is: 76
the NO.1904 classifier came back with: 9, the real answer is: 9, error count is: 76
the NO.1905 classifier came back with: 6, the real answer is: 6, error count is: 76
the NO.1906 classifier came back with: 9, the real answer is: 9, error count is: 76
the NO.1907 classifier came back with: 0, the real answer is: 0, error count is: 76
the NO.1908 classifier came back with: 6, the real answer is: 6, error count is: 76
the NO.1909 classifier came back with: 1, the real answer is: 1, error count is: 76
the NO.1910 classifier came back with: 5, the real answer is: 5, error count is: 76
the NO.1911 classifier came back with: 5, the real answer is: 5, error count is: 76
the NO.1912 classifier came back with: 8, the real answer is: 8, error count is: 76
the NO.1913 classifier came back with: 3, the real answer is: 3, error count is: 76
the NO.1914 classifier came back with: 8, the real answer is: 8, error count is: 76
the NO.1915 classifier came back with: 2, the real answer is: 2, error count is: 76
the NO.1916 classifier came back with: 6, the real answer is: 6, error count is: 76
the NO.1917 classifier came back with: 5, the real answer is: 5, error count is: 76
the NO.1918 classifier came back with: 0, the real answer is: 0, error count is: 76
the NO.1919 classifier came back with: 7, the real answer is: 7, error count is: 76
the NO.1920 classifier came back with: 4, the real answer is: 4, error count is: 76
the NO.1921 classifier came back with: 6, the real answer is: 6, error count is: 76
the NO.1922 classifier came back with: 1, the real answer is: 1, error count is: 76
the NO.1923 classifier came back with: 3, the real answer is: 3, error count is: 76
the NO.1924 classifier came back with: 4, the real answer is: 4, error count is: 76
the NO.1925 classifier came back with: 7, the real answer is: 7, error count is: 76
the NO.1926 classifier came back with: 3, the real answer is: 3, error count is: 76
the NO.1927 classifier came back with: 2, the real answer is: 2, error count is: 76
the NO.1928 classifier came back with: 3, the real answer is: 3, error count is: 76
the NO.1929 classifier came back with: 4, the real answer is: 4, error count is: 76
the NO.1930 classifier came back with: 2, the real answer is: 2, error count is: 76
the NO.1931 classifier came back with: 5, the real answer is: 5, error count is: 76
the NO.1932 classifier came back with: 2, the real answer is: 2, error count is: 76
the NO.1933 classifier came back with: 7, the real answer is: 7, error count is: 76
the NO.1934 classifier came back with: 1, the real answer is: 1, error count is: 76
the NO.1935 classifier came back with: 7, the real answer is: 7, error count is: 76
the NO.1936 classifier came back with: 2, the real answer is: 2, error count is: 76
the NO.1937 classifier came back with: 6, the real answer is: 6, error count is: 76
the NO.1938 classifier came back with: 4, the real answer is: 4, error count is: 76
the NO.1939 classifier came back with: 1, the real answer is: 1, error count is: 76
the NO.1940 classifier came back with: 5, the real answer is: 5, error count is: 76
the NO.1941 classifier came back with: 7, the real answer is: 7, error count is: 76
the NO.1942 classifier came back with: 8, the real answer is: 8, error count is: 76
the NO.1943 classifier came back with: 6, the real answer is: 6, error count is: 76
the NO.1944 classifier came back with: 0, the real answer is: 0, error count is: 76
the NO.1945 classifier came back with: 1, the real answer is: 1, error count is: 76
the NO.1946 classifier came back with: 8, the real answer is: 8, error count is: 76
the NO.1947 classifier came back with: 2, the real answer is: 2, error count is: 76
the NO.1948 classifier came back with: 5, the real answer is: 5, error count is: 76
the NO.1949 classifier came back with: 7, the real answer is: 7, error count is: 76
the NO.1950 classifier came back with: 7, the real answer is: 7, error count is: 76
the NO.1951 classifier came back with: 6, the real answer is: 6, error count is: 76
the NO.1952 classifier came back with: 9, the real answer is: 9, error count is: 76
the NO.1953 classifier came back with: 3, the real answer is: 3, error count is: 76
the NO.1954 classifier came back with: 5, the real answer is: 5, error count is: 76
the NO.1955 classifier came back with: 2, the real answer is: 8, error count is: 76
the NO.1956 classifier came back with: 4, the real answer is: 4, error count is: 77
the NO.1957 classifier came back with: 2, the real answer is: 2, error count is: 77
the NO.1958 classifier came back with: 4, the real answer is: 4, error count is: 77
the NO.1959 classifier came back with: 0, the real answer is: 0, error count is: 77
the NO.1960 classifier came back with: 8, the real answer is: 8, error count is: 77
the NO.1961 classifier came back with: 8, the real answer is: 8, error count is: 77
the NO.1962 classifier came back with: 3, the real answer is: 3, error count is: 77
the NO.1963 classifier came back with: 4, the real answer is: 4, error count is: 77
the NO.1964 classifier came back with: 9, the real answer is: 9, error count is: 77
the NO.1965 classifier came back with: 2, the real answer is: 2, error count is: 77
the NO.1966 classifier came back with: 7, the real answer is: 7, error count is: 77
the NO.1967 classifier came back with: 5, the real answer is: 5, error count is: 77
the NO.1968 classifier came back with: 8, the real answer is: 8, error count is: 77
the NO.1969 classifier came back with: 6, the real answer is: 6, error count is: 77
the NO.1970 classifier came back with: 3, the real answer is: 5, error count is: 77
the NO.1971 classifier came back with: 6, the real answer is: 6, error count is: 78
the NO.1972 classifier came back with: 0, the real answer is: 0, error count is: 78
the NO.1973 classifier came back with: 8, the real answer is: 8, error count is: 78
the NO.1974 classifier came back with: 6, the real answer is: 6, error count is: 78
the NO.1975 classifier came back with: 7, the real answer is: 7, error count is: 78
the NO.1976 classifier came back with: 3, the real answer is: 3, error count is: 78
the NO.1977 classifier came back with: 6, the real answer is: 6, error count is: 78
the NO.1978 classifier came back with: 4, the real answer is: 4, error count is: 78
the NO.1979 classifier came back with: 9, the real answer is: 9, error count is: 78
the NO.1980 classifier came back with: 4, the real answer is: 4, error count is: 78
the NO.1981 classifier came back with: 6, the real answer is: 6, error count is: 78
the NO.1982 classifier came back with: 6, the real answer is: 6, error count is: 78
the NO.1983 classifier came back with: 3, the real answer is: 3, error count is: 78
the NO.1984 classifier came back with: 0, the real answer is: 2, error count is: 78
the NO.1985 classifier came back with: 4, the real answer is: 4, error count is: 79
the NO.1986 classifier came back with: 1, the real answer is: 1, error count is: 79
the NO.1987 classifier came back with: 0, the real answer is: 0, error count is: 79
the NO.1988 classifier came back with: 1, the real answer is: 1, error count is: 79
the NO.1989 classifier came back with: 4, the real answer is: 4, error count is: 79
the NO.1990 classifier came back with: 6, the real answer is: 6, error count is: 79
the NO.1991 classifier came back with: 2, the real answer is: 2, error count is: 79
the NO.1992 classifier came back with: 9, the real answer is: 9, error count is: 79
the NO.1993 classifier came back with: 1, the real answer is: 1, error count is: 79
the NO.1994 classifier came back with: 1, the real answer is: 1, error count is: 79
the NO.1995 classifier came back with: 0, the real answer is: 0, error count is: 79
the NO.1996 classifier came back with: 6, the real answer is: 6, error count is: 79
the NO.1997 classifier came back with: 3, the real answer is: 3, error count is: 79
the NO.1998 classifier came back with: 9, the real answer is: 9, error count is: 79
the NO.1999 classifier came back with: 5, the real answer is: 5, error count is: 79
the NO.2000 classifier came back with: 6, the real answer is: 6, error count is: 79
the NO.2001 classifier came back with: 5, the real answer is: 5, error count is: 79
the NO.2002 classifier came back with: 6, the real answer is: 6, error count is: 79
the NO.2003 classifier came back with: 5, the real answer is: 5, error count is: 79
the NO.2004 classifier came back with: 8, the real answer is: 8, error count is: 79
the NO.2005 classifier came back with: 4, the real answer is: 4, error count is: 79
the NO.2006 classifier came back with: 6, the real answer is: 6, error count is: 79
the NO.2007 classifier came back with: 4, the real answer is: 4, error count is: 79
the NO.2008 classifier came back with: 3, the real answer is: 3, error count is: 79
the NO.2009 classifier came back with: 9, the real answer is: 9, error count is: 79
